Station.ID,Capacity,Station.Name,Location
354,37,"Northumberland Avenue, Strand","(51.506767,-0.123702)"
355,21,"Oval Way, Vauxhall","(51.486575,-0.117286)"
356,15,"South Kensington Station, South Kensington","(51.494412,-0.173881)"
357,30,"Howland Street, Fitzrovia","(51.520994,-0.139016)"
358,20,"High Holborn , Covent Garden","(51.516226,-0.124826)"
359,18,"Butler Place, Westminster","(51.497829,-0.13544)"
360,27,"Howick Place, Westminster","(51.496753,-0.138733)"
361,55,"Waterloo Station 2, Waterloo","(51.503919,-0.113426)"
362,57,"Royal College Street, Camden Town","(51.536264,-0.133952)"
363,24,"Lord's, St. John's Wood","(51.529121,-0.171185)"
364,41,"Alfred Place, Bloomsbury","(51.519656,-0.132339)"
365,47,"City Road, Angel","(51.530344,-0.100168)"
366,27,"Millennium Hotel, Mayfair","(51.510919,-0.151126)"
367,16,"Harrowby Street, Marylebone","(51.517372,-0.164207)"
368,25,"Harriet Street, Knightsbridge","(51.500241,-0.15934)"
370,20,"Paddington Green, Paddington","(51.520205,-0.174593)"
371,22,"King Edward Walk, Waterloo","(51.49775,-0.10988)"
372,24,"Sardinia Street, Holborn","(51.515208,-0.117863)"
373,18,"Prince Consort Road, Knightsbridge","(51.499806,-0.176415)"
374,36,"Waterloo Station 1, Waterloo","(51.504027,-0.113864)"
375,18,"Kensington Town Hall, Kensington","(51.501945,-0.194392)"
376,24,"Millbank Tower, Pimlico","(51.491884,-0.125674)"
377,15,"Waterloo Bridge, South Bank","(51.505354,-0.113656)"
378,42,"Natural History Museum, South Kensington","(51.495592,-0.179077)"
379,21,"Turquoise Island, Notting Hill","(51.514311,-0.200838)"
380,21,"Stanhope Gate, Mayfair","(51.506864,-0.150666)"
381,14,"Charlotte Street, Fitzrovia","(51.51953,-0.135777)"
382,15,"Farm Street, Mayfair","(51.509351,-0.147449)"
383,18,"Frith Street, Soho","(51.513103,-0.131213)"
384,15,"Marloes Road, Kensington","(51.496481,-0.192404)"
386,16,"Moor Street, Soho","(51.513527,-0.13011)"
387,30,"Fire Brigade Pier, Vauxhall","(51.493699,-0.121394)"
388,14,"Southampton Street, Strand","(51.510701,-0.121723)"
389,18,"Upper Grosvenor Street, Mayfair","(51.51013,-0.155757)"
390,41,"Buxton Street 1, Shoreditch","(51.521776,-0.068856)"
392,21,"Imperial College, Knightsbridge","(51.499428,-0.179702)"
393,15,"Snow Hill, Farringdon","(51.517334,-0.103604)"
394,18,"Aberdeen Place, St. John's Wood","(51.524826,-0.176268)"
395,15,"Cadogan Gardens, Chelsea","(51.492462,-0.159919)"
396,16,"Shouldham Street, Marylebone","(51.51809,-0.163609)"
397,16,"Devonshire Terrace, Bayswater","(51.51348,-0.17977)"
398,30,"Holland Park, Kensington","(51.502319,-0.200742)"
399,24,"Brick Lane Market, Shoreditch","(51.522617,-0.071653)"
400,26,"George Street, Marylebone","(51.517703,-0.154106)"
401,24,"Columbia Road, Shoreditch","(51.528187,-0.075375)"
402,15,"Penfold Street, Marylebone","(51.522892,-0.171681)"
403,16,"George Place Mews, Marylebone","(51.516892,-0.158249)"
404,13,"Palace Gate, Kensington Gardens","(51.502042,-0.1844)"
405,15,"Gloucester Road Station, South Kensington","(51.494185,-0.18267)"
408,40,"Paddington Green Police Station, Paddington","(51.519943,-0.170704)"
409,41,"Strata, Elephant & Castle","(51.493146,-0.099828)"
410,64,"Edgware Road Station, Marylebone","(51.519968,-0.169774)"
